track_name,track_uri,rank,track_name1,first_artist,second_artist,year,track_name2,track_uri1,track_match,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri2,duration_ms,time_signature,key_mode
Cooler Than Me  Single Mix,2V4bv1fNWfTcyRJKmej6Sj,19,Cooler Than Me,"Mike Posner
",NA,2010,NA,NA,TRUE,0.768,0.82,G,-4.63,minor,0.0475,0.179,0,0.704,0.625,129.969,2V4bv1fNWfTcyRJKmej6Sj,213293,4,G minor
Imma Be,5OiLJ8tjUPFiPX2gVM8fxJ,20,Imma Be,"The Black Eyed Peas
",NA,2010,NA,NA,TRUE,0.619,0.539,C,-6.9,major,0.387,0.184,0,0.288,0.424,145.618,5OiLJ8tjUPFiPX2gVM8fxJ,257560,0,C major
Empire State of Mind,2ETOrcCDwGsbYpKHB3qm6N,21,Empire State of Mind,Jay-Z ," Alicia Keys
",2010,NA,NA,TRUE,0.598,0.488,F#,-7.41,major,0.08,0.00225,0,0.0648,0.565,173.403,2ETOrcCDwGsbYpKHB3qm6N,278361,4,F# major
DJ Got Us Fallin In Love,5tXyNhNcsnn7HbcABntOSf,22,DJ Got Us Fallin in Love,Usher ," Pitbull
",2010,NA,NA,TRUE,0.666,0.878,G,-2.85,minor,0.0973,0.03,0,0.0828,0.669,119.932,5tXyNhNcsnn7HbcABntOSf,222160,4,G minor
Billionaire feat Bruno Mars,2M9ULmQwTaTGmAdXaXpfz5,23,Billionaire,Travie McCoy ," Bruno Mars
",2010,NA,NA,TRUE,0.633,0.673,F#,-6.403,minor,0.258,0.297,0,0.206,0.659,86.776,2M9ULmQwTaTGmAdXaXpfz5,211160,4,F# minor
Not Afraid,7Ie9W94M7OjPoZVV216Xus,24,Not Afraid,"Eminem
",NA,2010,NA,NA,TRUE,0.851,0.95,C,-1.097,minor,0.269,0.513,0,0.222,0.679,114.661,7Ie9W94M7OjPoZVV216Xus,248133,5,C minor
Replay,5vlEg2fT4cFWAqU5QptIpQ,25,Replay,"Iyaz
",NA,2010,NA,NA,TRUE,0.706,0.751,A,-6.323,major,0.0708,0.173,0,0.168,0.195,91.031,5vlEg2fT4cFWAqU5QptIpQ,182307,4,A major
Sexy Bitch feat Akon  feat Akon,6pL7puHxh1psrLzrAlobxQ,26,Sexy Bitch,David Guetta ," Akon
",2010,NA,NA,TRUE,0.813,0.627,B,-5.018,minor,0.0486,0.076,6.16e-4,0.131,0.801,130.011,6pL7puHxh1psrLzrAlobxQ,195853,4,B minor
Breakeven,38xWaVFKaxZlMFvzNff2aW,27,Breakeven,"The Script
",NA,2010,NA,NA,TRUE,0.63,0.698,A#,-4.51,major,0.0244,0.173,0,0.0789,0.529,94.023,38xWaVFKaxZlMFvzNff2aW,261427,4,A# major
Your Love Is My Drug,4AboqNl74jNDpJhPfqYDmj,28,Your Love Is My Drug,"Kesha
",NA,2010,NA,NA,TRUE,0.829,0.607,C#,-3.876,major,0.0897,0.0049,0,0.0986,0.766,120.044,4AboqNl74jNDpJhPfqYDmj,187067,4,C# major
